case,run,enable,force_x__mean,force_x__std,force_x__var,force_x__max,force_x__min,force_x__rms,force_x__peak2peak,force_x__sum,force_x__kurtosis,force_x__skewness,force_y__mean,force_y__std,force_y__var,force_y__max,force_y__min,force_y__rms,force_y__peak2peak,force_y__sum,force_y__kurtosis,force_y__skewness,force_z__mean,force_z__std,force_z__var,force_z__max,force_z__min,force_z__rms,force_z__peak2peak,force_z__sum,force_z__kurtosis,force_z__skewness,vib_x__mean,vib_x__std,vib_x__var,vib_x__max,vib_x__min,vib_x__rms,vib_x__peak2peak,vib_x__sum,vib_x__kurtosis,vib_x__skewness,vib_y__mean,vib_y__std,vib_y__var,vib_y__max,vib_y__min,vib_y__rms,vib_y__peak2peak,vib_y__sum,vib_y__kurtosis,vib_y__skewness,vib_z__mean,vib_z__std,vib_z__var,vib_z__max,vib_z__min,vib_z__rms,vib_z__peak2peak,vib_z__sum,vib_z__kurtosis,vib_z__skewness,ae_rms__mean,ae_rms__std,ae_rms__var,ae_rms__max,ae_rms__min,ae_rms__rms,ae_rms__peak2peak,ae_rms__sum,ae_rms__kurtosis,ae_rms__skewness
1,1,True,0.4008572987229099,0.842467671737982,0.7097517779236162,3.744,-2.501,0.9329728569808686,6.245,51068.819,-0.24518865483257812,0.11520477345836788,0.6294631041059977,1.6359571313229282,2.6763557355263448,10.724,-12.051,1.7528775014122073,22.775,80192.97,5.844452277200279,-0.6822183460971174,0.7051320418527618,1.1274861224183919,1.271224956246061,4.56,-3.243,1.3298256098802979,7.802999999999999,89833.117,-0.1425350330694446,-0.020763202553637075,0.009306533018312546,0.07634935766071616,0.005829224415203956,0.33,-0.316,0.07691447179838719,0.646,1185.643,0.13229315877138959,-0.001946302007880886,0.013555608756740634,0.0763146487763662,0.005823925617860132,0.347,-0.317,0.07750922620324599,0.6639999999999999,1726.971,0.1254590894507941,-0.012403715216887969,0.018199554156626038,0.07656360904599784,0.005861986230148402,0.354,-0.315,0.0786969503961136,0.669,2318.6050000000005,0.1329498719009008,-0.008650589757434192,-5.9804237081923665e-05,0.002229600218008001,4.971117132141326e-06,0.01,-0.005,0.002230402133901929,0.015,-7.618999999999993,0.6568025756065152,0.8230737346625299
1,2,True,1.0281508640327666,1.8649770210887953,3.478139289189237,8.427,-4.219,2.129608764163165,12.646,223412.04200000002,0.022639158282651728,0.6063249396955513,1.1185804827538601,3.1499477139096466,9.922170600364607,14.302,-9.826,3.3426625460495503,24.128,243061.94600000003,0.5308679406113805,0.36580715946755754,1.0240950459053362,1.6835508253677776,2.834343381596525,7.41,-4.692,1.9705618601415125,12.102,222530.733,-0.23330831612866998,0.21145067183581231,-0.0032302445983570724,0.08535004150447481,0.007284629584815572,0.399,-0.413,0.085411147193916,0.812,-701.916,0.2751716034332592,0.01754607960992891,-0.010850203640212613,0.08502656187967828,0.0072295162250787595,0.35,-0.386,0.08571606117941283,0.736,-2357.6949999999997,0.2359823036412343,-0.014397688913701311,-0.012855468372489014,0.08695030324979813,0.007560355235231857,0.409,-0.435,0.08789549648479109,0.844,-2793.429,0.2773565972515488,-0.011066030572794587,0.03855607354057848,0.012941029453592028,0.00016747024331873638,0.122,-0.005,0.04066990349367985,0.127,8378.042000000001,4.876838967188263,1.2566500329130144
1,3,True,1.7760923539754934,2.6720884071664406,7.140056455713284,11.534,-5.994,3.208513753369852,17.528,387877.25700000004,0.07331745297867354,0.6050461262779132,2.3478862620656815,4.8160194530716085,23.194043372364156,20.826,-12.778,5.3578552865825815,33.604,512750.18500000006,0.8129799315681665,0.48729091379000494,1.8339880075828343,2.689685142389413,7.234406165190357,11.815,-5.611,3.2554443901175785,17.426,400520.973,-0.39082549148073564,0.3694323084083515,-0.0049068218033957904,0.09564111492673433,0.009147222864428803,0.433,-0.421,0.09576690328416745,0.854,-1071.591,0.26272047497014217,0.003550429572658612,-0.00985904445299192,0.0938164897887096,0.008801533756275053,0.4,-0.448,0.09433310401869073,0.8480000000000001,-2153.0969999999998,0.19454257383733964,-0.05172724225340698,-0.011772510394344014,0.09803818607624844,0.009611485929121113,0.418,-0.48,0.09874248290430036,0.8979999999999999,-2570.9750000000004,0.24320967593256038,-0.07598672369956679,0.06657051669505651,0.019153390999361933,0.00036685238677443873,0.18,-0.005,0.06927110566333726,0.185,14538.202000000001,5.272888390406175,1.5631121152069114
1,4,True,2.1049203423304808,2.992554590145689,8.955382975002033,11.788,-6.157,3.658698214195686,17.945,460421.856,0.10254792606299779,0.5868043871648425,2.7214464651451977,5.532462218666186,30.60813820096878,24.148,-13.915,6.165582621587361,38.063,595278.314,0.6816227365759473,0.4938009044556584,2.02451409004462,3.1213343848855897,9.742728342269103,12.852,-8.489,3.7204012744673522,21.341,442834.114,-0.42716552254563966,0.3639167199434176,-0.001283382707921879,0.09903156058525651,0.009807249991951332,0.443,-0.43,0.09903987612636804,0.873,-280.7220000000001,0.19198069952101227,0.003743463290296251,-0.004830604015799869,0.09712509250807107,0.009433283594701363,0.421,-0.465,0.09724514553364,0.886,-1056.6270000000002,0.14304333848146955,-0.027110640908932202,-0.0059066957428132545,0.10208799888469651,0.010421959516281797,0.409,-0.435,0.10225873346995827,0.844,-1292.007,0.13136496748230542,-0.03801467383068008,0.08000284361056251,0.022859619904590067,0.0005225622221823304,0.234,-0.005,0.08320467058980795,0.23900000000000002,17499.502,6.44049107102817,1.785112197772203
1,5,True,2.831384114589266,2.9797569843058946,8.878951685519759,12.555,-4.288,4.110436435449185,16.843,621480.3190000001,0.016936047680474964,0.6127139350903928,2.3511685079978317,5.747378852342402,33.03236367235267,24.337,-22.483,6.209698625968366,46.82,516074.43400000007,0.49782304040914127,0.3788728048554128,1.1502546230700192,3.294651196585345,10.854726507161244,11.704,-7.805,3.4896722202887758,19.509,252477.439,-0.4477433051286548,0.395814175360402,0.015474976878955065,0.08367209482680316,0.007001019452705539,0.447,-0.383,0.08509109449354693,0.8300000000000001,3396.711,0.3030404597340719,0.019999471616020437,0.021317475865273786,0.08134957892140128,0.006617753990689296,0.399,-0.334,0.08409630650602812,0.7330000000000001,4679.122,0.253100745951262,-0.026083471810090193,0.028552208002842864,0.08751630729354666,0.007659104042298489,0.395,-0.451,0.09205613843810793,0.8460000000000001,6267.124,0.16943455416731634,-0.06450429941259007,0.08919642181897701,0.024687981265129725,0.0006094964189473963,0.241,-0.005,0.09254997614400706,0.246,19578.346999999998,5.27977276804846,1.5705276672995359
1,6,True,2.9306678486241466,2.987066266936185,8.922564883068077,14.291,-4.167,4.184659952974359,18.458,641364.936,-0.050647247415110286,0.5908188294842046,2.332707895049487,5.896984506734839,34.77442627267073,26.583,-15.591,6.341604875447298,42.174,510503.792,0.5555519941921787,0.4311968716784389,1.1921905632271095,3.4817816867970066,12.122803714515008,12.352,-7.671,3.6802339672312656,20.023,260906.136,-0.44298882887264845,0.43077155471585804,-0.004698418065671751,0.08319920700775525,0.006922108046719311,0.435,-0.38,0.08333176572615716,0.815,-1028.23,0.4260848698709987,0.07055920078779623,-0.015314577374043847,0.08101503006842127,0.006563435096987202,0.354,-0.375,0.0824498112619597,0.729,-3351.5339999999997,0.2560162737973548,0.013994397477098143,-0.018278556610584612,0.08699802188759338,0.007568655812354177,0.382,-0.418,0.0888974771527321,0.8,-4000.189,0.28434347384615055,0.011724061673313036,0.09528322656114344,0.028012497828320704,0.0007847000345816722,0.254,-0.005,0.09931562464428174,0.259,20852.352999999996,5.806173747724154,1.9067169335777563
1,7,True,3.0169100152493313,3.0157988108920253,9.095042467777754,13.014,-4.91,4.265769392253814,17.924,660781.733,0.006708055238750621,0.574441057966314,2.4431466218622444,6.012845915999226,36.15431600954857,27.215,-15.944,6.49024509748788,43.159,535112.632,0.5076366589901662,0.4289155233207325,1.2744270954133299,3.6549558058068463,13.358701942401174,13.221,-8.402,3.8707707712966974,21.622999999999998,279132.669,-0.42591715343143255,0.4454010542606999,-0.008552222110617005,0.08340122863256072,0.006955764937420666,0.426,-0.382,0.08383856773854138,0.808,-1873.159,0.4422554421809073,-0.0016974977415782054,-0.014361578077488519,0.08176222878418027,0.0066850620557566375,0.363,-0.377,0.08301395654124935,0.74,-3145.559,0.3245716952286042,-0.062273097312551755,-0.01844172837927917,0.08763014555210129,0.007679042409482457,0.427,-0.474,0.08954964966485111,0.901,-4039.218,0.3296632974252445,-0.09134216672288335,0.10294943066120003,0.027359212735045643,0.0007485265214814838,0.244,-0.005,0.10652282288292363,0.249,22548.602,4.263684903174667,1.3994813446337075
1,8,True,3.0945889012705403,2.9761810822351027,8.857653834254107,13.322,-4.147,4.293499074428794,17.469,677597.375,-0.05322963682664339,0.5582540144714344,2.5315786255149297,6.084944348817287,37.02654772820344,26.872,-16.295,6.590556734098229,43.167,554319.5190000001,0.5055493234557238,0.4274042708017071,1.3611336624619796,3.7445786358616555,14.021869160151537,14.355,-7.821,3.9842883940847833,22.176000000000002,298036.549,-0.41518181818252975,0.4602306829820667,-0.004029137475909063,0.08586806302993565,0.007373324248513,0.419,-0.404,0.08596253950013795,0.823,-882.2280000000003,0.4650091561785681,-0.018658978037634555,-0.008580333573862132,0.08427510215206996,0.0071022928427418265,0.367,-0.398,0.08471077243763377,0.765,-1878.767,0.3429015207627857,-0.06329865846499666,-0.010350590513422422,0.08959977385787446,0.008028119475382244,0.419,-0.442,0.09019564401543344,0.861,-2266.3860000000004,0.3381308467344759,-0.07862129022318592,0.11154573396297075,0.030671221918966603,0.0009407238540024974,0.276,-0.005,0.11568567162505625,0.281,24424.277000000002,4.579000702990261,1.463444240575893
1,9,True,2.7109238221789407,2.8734886223110903,8.256936862551289,10.615,-5.616,3.950448687454194,16.231,595722.799,-0.5724889726933977,0.16479542451825557,2.546445781323237,5.861139431566405,34.35295543626256,26.321,-19.65,6.3904101240437985,45.971000000000004,559578.914,0.41129862942961104,0.3937327009440996,2.0017639761728154,3.687839215902757,13.600158082350262,14.216,-7.65,4.1960954587155745,21.866,439885.632,-0.3934241024619962,0.4382979590124528,0.008268829437221558,0.08051658194018728,0.006482919967330893,0.413,-0.372,0.08094006120329261,0.7849999999999999,1817.067,0.21484072893734085,0.006345815694098817,0.010666633295259591,0.07717204398947797,0.005955524373513922,0.356,-0.366,0.07790572148032172,0.722,2343.982,0.14031747572024944,-0.02093405746119994,0.014353257580239273,0.08374778498793126,0.007013691490384763,0.359,-0.341,0.0849688619056973,0.7,3154.114,0.026890785458198785,-0.028512777667309527,0.1150515724758702,0.03236770790649407,0.0010476685151201185,0.286,-0.005,0.11951791850718675,0.291,25282.468,5.594930667448789,1.67910975526731
1,10,True,2.689304597858657,2.8617966775888344,8.189880223858491,10.99,-6.076,3.9271159193385423,17.066,588764.077,-0.5150250610933806,0.15167431838283285,2.525279571365928,5.89785303636559,34.78467043856681,25.764,-16.249,6.415739033979243,42.013,552854.406,0.48133177019818074,0.42032039345766165,1.9951421426222322,3.7312066063835347,13.921902739520133,14.509,-8.133,4.231133997971154,22.642,436792.47900000005,-0.3177980239429439,0.4591723234378651,-0.0033245678944675877,0.07873024798951465,0.006198451948490475,0.359,-0.403,0.07880041053303848,0.762,-727.841,0.2152612735792343,0.013775637515630747,-0.01098633340641672,0.07560944493733669,0.005716788163732149,0.316,-0.342,0.07640345336075523,0.658,-2405.216,0.09266807530138044,-0.019046208919537302,-0.013223895527296647,0.08202580056889396,0.006728231958967964,0.361,-0.346,0.08308491663283306,0.707,-2895.081,0.0440482388509551,-0.011723992579289244,0.11726233738946139,0.03307215892745014,0.00109376769612252,0.302,-0.005,0.12183687235875022,0.307,25672.009000000002,4.895065726236364,1.5889283633779379
