case,run,sensor,idx_exit_start,signal_length,exit_frac,has_exit,exit_confidence,shift_vs_smcDC
1,1,smcDC,7520,9000,0.8355555555555556,True,1.0635276977260746,466
1,2,smcDC,7456,9000,0.8284444444444444,True,1.2553666966216903,210
1,3,smcDC,7280,9000,0.8088888888888889,True,1.1446229911648351,34
1,4,smcDC,7008,9000,0.7786666666666666,True,1.6927826840531732,-142
1,5,smcDC,7280,9000,0.8088888888888889,True,1.7784027381768353,-126
1,6,smcDC,7248,9000,0.8053333333333333,True,1.2017006835095847,-110
1,7,smcDC,7136,9000,0.7928888888888889,True,3.021910189807685,466
1,8,smcDC,7216,9000,0.8017777777777778,True,31.95662273593645,-158
1,9,smcDC,7152,9000,0.7946666666666666,True,19.350516746996853,-142
1,10,smcDC,6992,9000,0.7768888888888889,True,45.99741508269495,-248
1,11,smcDC,7104,9000,0.7893333333333333,True,23.438512601911036,-246
1,12,smcDC,7680,9000,0.8533333333333334,True,38.02649990647331,-158
1,13,smcDC,7472,9000,0.8302222222222222,True,25.146984361967057,-142
1,14,smcDC,7392,9000,0.8213333333333334,True,27.377175530780885,-142
1,15,smcDC,7440,9000,0.8266666666666667,True,63.83470358962538,-206
1,16,smcDC,7264,9000,0.8071111111111111,True,47.09482982567435,-142
1,17,smcDC,7024,9000,0.7804444444444445,True,68.71766663975647,-346
2,1,smcDC,9000,9000,1.0,False,0.0,0
2,2,smcDC,7152,9000,0.7946666666666666,True,4.540856724925752,-142
2,3,smcDC,6704,9000,0.7448888888888889,True,4.641126072008339,-142
2,4,smcDC,7312,9000,0.8124444444444444,True,1.8603771728504368,-78
2,5,smcDC,7136,9000,0.7928888888888889,True,6.127518002138857,-142
2,6,smcDC,7040,9000,0.7822222222222223,True,3.4234240566159753,-142
2,7,smcDC,7104,9000,0.7893333333333333,True,3.342876350239852,-142
2,8,smcDC,7040,9000,0.7822222222222223,True,2.3471240823129764,-126
2,9,smcDC,6992,9000,0.7768888888888889,True,2.082645439936597,-126
2,10,smcDC,8048,9000,0.8942222222222223,True,2.5370809413555926,-126
2,11,smcDC,7104,9000,0.7893333333333333,True,2.43480783131697,162
2,12,smcDC,6944,9000,0.7715555555555556,True,3.3009340681217374,50
2,13,smcDC,6752,9000,0.7502222222222222,True,3.877854462478808,-496
2,14,smcDC,7856,9000,0.8728888888888889,True,9.555910102154591,-270
3,1,smcDC,7680,9000,0.8533333333333334,True,1.1268913479166809,-1320
3,2,smcDC,9000,9000,1.0,False,0.6698237944390308,0
3,3,smcDC,9000,9000,1.0,False,0.5896585959513085,0
3,5,smcDC,9000,9000,1.0,False,0.9758288805295985,0
3,6,smcDC,7056,9000,0.784,True,1.0060280470910157,-1944
3,7,smcDC,9000,9000,1.0,False,0.9611111852069837,0
3,8,smcDC,9000,9000,1.0,False,0.7243867357723455,0
3,9,smcDC,9000,9000,1.0,False,0.5403023850471572,0
3,10,smcDC,8416,9000,0.9351111111111111,True,1.0938097964924962,-584
3,11,smcDC,9000,9000,1.0,False,0.7095372292902709,0
3,12,smcDC,9000,9000,1.0,False,0.8034644613265598,0
3,14,smcDC,9000,9000,1.0,False,0.4590745249033034,0
3,15,smcDC,9000,9000,1.0,False,0.6700617225178495,0
3,16,smcDC,8416,9000,0.9351111111111111,True,1.1495677259035897,-584
4,1,smcDC,9000,9000,1.0,False,0.6465462097702135,0
4,2,smcDC,9000,9000,1.0,False,0.6274423194166656,0
4,3,smcDC,9000,9000,1.0,False,0.5522118478920036,0
4,4,smcDC,9000,9000,1.0,False,0.6698124557491173,0
4,5,smcDC,9000,9000,1.0,False,0.5675104847019455,0
4,6,smcDC,9000,9000,1.0,False,0.4130311921254327,0
4,7,smcDC,9000,9000,1.0,False,0.46796853246544046,0
5,1,smcDC,6832,9000,0.7591111111111111,True,2.346739155018919,-174
5,2,smcDC,6928,9000,0.7697777777777778,True,18.32665460439443,-142
5,3,smcDC,7024,9000,0.7804444444444445,True,91.0598038970725,-158
5,4,smcDC,7072,9000,0.7857777777777778,True,28.07952205961556,-142
5,5,smcDC,7008,9000,0.7786666666666666,True,32.152313808861855,-290
5,6,smcDC,7136,9000,0.7928888888888889,True,53.88915203113391,-158
7,1,smcDC,9000,9000,1.0,False,0.6159624245513652,0
7,2,smcDC,9000,9000,1.0,False,0.7224207128659548,0
7,3,smcDC,9000,9000,1.0,False,0.7155289803959056,0
7,4,smcDC,9000,9000,1.0,False,0.5061661883226807,0
7,5,smcDC,9000,9000,1.0,False,0.4164904700489529,0
7,6,smcDC,9000,9000,1.0,False,0.49751583044686165,0
7,7,smcDC,9000,9000,1.0,False,0.26919845340019294,0
7,8,smcDC,9000,9000,1.0,False,0.35343662811359644,0
8,1,smcDC,6944,9000,0.7715555555555556,True,4.952208813873603,-110
8,2,smcDC,6960,9000,0.7733333333333333,True,4.1571226096246985,-202
8,3,smcDC,6928,9000,0.7697777777777778,True,3.2602281605637202,-206
8,4,smcDC,6960,9000,0.7733333333333333,True,3.8421921425923333,-142
