case,run,sensor,idx_exit_start,signal_length,exit_frac,has_exit,exit_confidence,shift_vs_smcDC
1,1,smcDC,7520,9000,0.8355555555555556,True,3.0218589054542853,466
1,2,smcDC,7456,9000,0.8284444444444444,True,6.181704351889552,210
1,3,smcDC,7280,9000,0.8088888888888889,True,3.7009954591652527,34
1,4,smcDC,7008,9000,0.7786666666666666,True,5.92246945854711,-142
1,5,smcDC,7280,9000,0.8088888888888889,True,6.815428887608773,-126
1,6,smcDC,7248,9000,0.8053333333333333,True,4.636948052053497,-110
1,7,smcDC,7136,9000,0.7928888888888889,True,11.622042361011472,466
1,8,smcDC,9000,9000,1.0,False,,1626
1,9,smcDC,9000,9000,1.0,False,,1706
1,10,smcDC,9000,9000,1.0,False,,1760
1,11,smcDC,9000,9000,1.0,False,,1650
1,12,smcDC,9000,9000,1.0,False,,1162
1,13,smcDC,9000,9000,1.0,False,,1386
1,14,smcDC,9000,9000,1.0,False,,1466
1,15,smcDC,9000,9000,1.0,False,,1354
1,16,smcDC,9000,9000,1.0,False,,1594
1,17,smcDC,9000,9000,1.0,False,,1630
2,1,smcDC,9000,9000,1.0,False,0.0,0
2,2,smcDC,7152,9000,0.7946666666666666,True,20.33096459489953,-142
2,3,smcDC,6704,9000,0.7448888888888889,True,19.51194439378927,-142
2,4,smcDC,7312,9000,0.8124444444444444,True,10.894082497405025,-78
2,5,smcDC,7136,9000,0.7928888888888889,True,25.63178027854988,-142
2,6,smcDC,7040,9000,0.7822222222222223,True,23.60327451219842,-142
2,7,smcDC,7104,9000,0.7893333333333333,True,17.553020794562872,-142
2,8,smcDC,7040,9000,0.7822222222222223,True,13.513114431139622,-126
2,9,smcDC,6992,9000,0.7768888888888889,True,13.868649110193154,-126
2,10,smcDC,8048,9000,0.8942222222222223,True,25.056274771385024,-126
2,11,smcDC,7104,9000,0.7893333333333333,True,18.445447252393194,162
2,12,smcDC,6944,9000,0.7715555555555556,True,23.07765331950649,50
2,13,smcDC,9000,9000,1.0,False,,1752
2,14,smcDC,9000,9000,1.0,False,,874
3,1,smcDC,7680,9000,0.8533333333333334,True,3.8258956641157154,-1320
3,2,smcDC,7760,9000,0.8622222222222222,True,2.7970036414997215,-1240
3,3,smcDC,8496,9000,0.944,True,2.104058584253723,-504
3,5,smcDC,7232,9000,0.8035555555555556,True,3.4050658480989,-1768
3,6,smcDC,5552,9000,0.6168888888888889,True,3.4090616188769314,-3448
3,7,smcDC,7680,9000,0.8533333333333334,True,2.9468229544347326,-1320
3,8,smcDC,8160,9000,0.9066666666666666,True,2.3400653737833546,-840
3,9,smcDC,7104,9000,0.7893333333333333,True,2.314794523336373,-1896
3,10,smcDC,8416,9000,0.9351111111111111,True,3.1341672302120642,-584
3,11,smcDC,7328,9000,0.8142222222222222,True,1.9994054595257014,-1672
3,12,smcDC,6768,9000,0.752,True,3.2477429656086967,-2232
3,14,smcDC,8352,9000,0.928,True,2.074996482677968,-648
3,15,smcDC,5696,9000,0.6328888888888888,True,4.495619918360982,-3304
3,16,smcDC,8416,9000,0.9351111111111111,True,7.9239967828737905,-584
4,1,smcDC,7024,9000,0.7804444444444445,True,1.8948348859751294,-1976
4,2,smcDC,6352,9000,0.7057777777777777,True,1.4245105701011298,-2648
4,3,smcDC,5472,9000,0.608,True,2.0128582181027315,-3528
